dv,testvar,spec,ctrl,coef,tstat
ame,proindex,yes,,.0034297315831782,.4527354779805704
ame,proindex,yes,stats_brw,.0021413098263583,.280218217204924
ame,proindex,yes,topic_brw,.0037017587630292,.4930912714117132
ame,proindex,yes,t2,.0032905607145158,.4270384282033739
ame,proindex,yes,t3,.0034736351081256,.4651986427022263
ame,proindex,yes,i.mdegree,.0161341116716243,2.426874092155534
ame,proindex,yes,stats_brw topic_brw,-.0000162816112652,-.0020975889376165
ame,proindex,yes,stats_brw t2,.0018681251102789,.2402935853921129
ame,proindex,yes,stats_brw t3,.0021497030984088,.2855291505758716
ame,proindex,yes,stats_brw i.mdegree,.0150023592888376,2.516464114129941
ame,proindex,yes,topic_brw t2,.0035853809350376,.4698414525047049
ame,proindex,yes,topic_brw t3,.0037392439513181,.5031815022575523
ame,proindex,yes,topic_brw i.mdegree,.0153546263512338,2.277030533131841
ame,proindex,yes,t2 t3,.0037568376235966,.4949058458352613
ame,proindex,yes,t2 i.mdegree,.0162480336760761,2.484410328562422
ame,proindex,yes,t3 i.mdegree,.0161144074653694,2.294598222215141
ame,proindex,yes,stats_brw topic_brw t2,-.0005074289733085,-.0649774263148889
ame,proindex,yes,stats_brw topic_brw t3,-.0000190291718964,-.0024608836164716
ame,proindex,yes,stats_brw topic_brw i.mdegree,.0110698917379162,1.905649871418093
ame,proindex,yes,stats_brw t2 t3,.0023591626585585,.3080544547561612
ame,proindex,yes,stats_brw t2 i.mdegree,.0150602589859924,2.578797203562603
ame,proindex,yes,stats_brw t3 i.mdegree,.0149999775991475,2.397120988796805
ame,proindex,yes,topic_brw t2 t3,.0040027353043929,.528474262044672
ame,proindex,yes,topic_brw t2 i.mdegree,.0154687614424784,2.334021135393774
ame,proindex,yes,topic_brw t3 i.mdegree,.0153611336060637,2.182525154593538
ame,proindex,yes,t2 t3 i.mdegree,.0159673668782767,2.270863653219843
ame,proindex,yes,stats_brw topic_brw t2 t3,-.0000292069627263,-.0037686452747086
ame,proindex,yes,stats_brw topic_brw t2 i.mdegree,.0109980318371767,1.96474184065853
ame,proindex,yes,stats_brw topic_brw t3 i.mdegree,.0111137000371565,1.938499960129788
ame,proindex,yes,stats_brw t2 t3 i.mdegree,.0147515076746706,2.321964448289661
ame,proindex,yes,topic_brw t2 t3 i.mdegree,.0152692182730053,2.175603217512297
ame,proindex,yes,stats_brw topic_brw t2 t3 i.mdegree,.0108736888127337,1.90772166497264
ame,p12,yes,,-.0239132863252863,-.8745774165207485
ame,p12,yes,stats_brw,-.0131266944154962,-.5410865183823392
ame,p12,yes,topic_brw,-.0355379066190017,-1.245865583372381
ame,p12,yes,t2,-.0239286707424407,-.8018897140277426
ame,p12,yes,t3,-.0243265859990783,-.9149510136193392
ame,p12,yes,i.mdegree,-.0677843406077691,-2.257811843293907
ame,p12,yes,stats_brw topic_brw,-.0128495891979138,-.42777744942095
ame,p12,yes,stats_brw t2,-.0111623589842157,-.4266677581413049
ame,p12,yes,stats_brw t3,-.0132211811962372,-.5607071999521996
ame,p12,yes,stats_brw i.mdegree,-.0584631696558347,-2.648352319233527
ame,p12,yes,topic_brw t2,-.0367405273139789,-1.158248923736649
ame,p12,yes,topic_brw t3,-.0358607917879842,-1.289387172678684
ame,p12,yes,topic_brw i.mdegree,-.0783733149498802,-2.495091772311778
ame,p12,yes,t2 t3,-.0302184840717427,-1.088871402345275
ame,p12,yes,t2 i.mdegree,-.0742250311586298,-2.377578093060424
ame,p12,yes,t3 i.mdegree,-.0672730141349043,-2.111626236224388
ame,p12,yes,stats_brw topic_brw t2,-.009213274590971,-.293744865362039
ame,p12,yes,stats_brw topic_brw t3,-.012961545009263,-.4355336175651878
ame,p12,yes,stats_brw topic_brw i.mdegree,-.0648963721091667,-3.016016351957596
ame,p12,yes,stats_brw t2 t3,-.0172622856326889,-.7219707636075615
ame,p12,yes,stats_brw t2 i.mdegree,-.0634118390531266,-2.846336305984107
ame,p12,yes,stats_brw t3 i.mdegree,-.0581089972190895,-2.436205704711031
ame,p12,yes,topic_brw t2 t3,-.0436432708035565,-1.489161746615257
ame,p12,yes,topic_brw t2 i.mdegree,-.0858351201451141,-2.571340869585024
ame,p12,yes,topic_brw t3 i.mdegree,-.0777279020832839,-2.368948680355425
ame,p12,yes,t2 t3 i.mdegree,-.0703707556533389,-2.193771542045861
ame,p12,yes,stats_brw topic_brw t2 t3,-.0154150539396408,-.5330141116664213
ame,p12,yes,stats_brw topic_brw t2 i.mdegree,-.0679060284397247,-3.170965791363558
ame,p12,yes,stats_brw topic_brw t3 i.mdegree,-.0647076930713343,-2.95050668419477
ame,p12,yes,stats_brw t2 t3 i.mdegree,-.0584726605957473,-2.477063960439057
ame,p12,yes,topic_brw t2 t3 i.mdegree,-.0841600276650605,-2.500470707748241
ame,p12,yes,stats_brw topic_brw t2 t3 i.mdegree,-.0668070588410176,-2.856848789649071
ame,p56,yes,,.019943505761931,.9499082830898034
ame,p56,yes,stats_brw,.0182210726914511,.8887354002072877
ame,p56,yes,topic_brw,.0186146135041452,.8861450898790946
ame,p56,yes,t2,.0197326303983927,.928759753276859
ame,p56,yes,t3,.019584039537141,.9305623374309828
ame,p56,yes,i.mdegree,.0477340623815516,2.47649828446597
ame,p56,yes,stats_brw topic_brw,.0115699322049779,.5820437547187165
ame,p56,yes,stats_brw t2,.0178084791351253,.8595635379570169
ame,p56,yes,stats_brw t3,.017698709848616,.8607256268869148
ame,p56,yes,stats_brw i.mdegree,.0457399769852785,2.499597113467451
ame,p56,yes,topic_brw t2,.0184265461953921,.8685889309181264
ame,p56,yes,topic_brw t3,.0183042827081204,.871385861380982
ame,p56,yes,topic_brw i.mdegree,.044334547556315,2.179033348559606
ame,p56,yes,t2 t3,.0199201109399402,.9442108813715373
ame,p56,yes,t2 i.mdegree,.0477436930129303,2.465866889152816
ame,p56,yes,t3 i.mdegree,.0491783072159988,2.479579574644826
