"id","peer_mean","peer_N"
"t1m1",3.83333333333333,6
"t1m2",3.83333333333333,6
"t1m3",3.83333333333333,6
"t1m4",3.83333333333333,6
"t1m5",3.83333333333333,6
"t1m6",3.83333333333333,6
"t1m7",3.83333333333333,6
"t1m8",3.83333333333333,6
"t2m1",5.66666666666667,6
"t2m2",5.66666666666667,6
"t2m3",5.66666666666667,6
"t2m4",5.66666666666667,6
"t3m1",4.66666666666667,6
"t3m2",4.66666666666667,6
"t3m3",4.66666666666667,6
"t3m4",4.66666666666667,6
"t3m5",4.66666666666667,6
"t3m6",4.66666666666667,6
"t3m7",4.66666666666667,6
"t3m8",4.66666666666667,6
"t3m9",4.66666666666667,6
"t3m10",4.66666666666667,6
"t3m11",4.66666666666667,6
"t3m12",4.66666666666667,6
"t5m1",4.84210526315789,19
"t5m2",4.84210526315789,19
"t5m3",4.84210526315789,19
"t5m4",4.84210526315789,19
"t5m5",NA,NA
"t5m6",NA,NA
"t5m7",NA,NA
"t5m8",NA,NA
"t5m9",NA,NA
"t5m10",NA,NA
"t5m11",NA,NA
"t5m12",NA,NA
"t5m13",NA,NA
"t5m14",NA,NA
"t5m15",NA,NA
"t5m16",NA,NA
"t5m17",4.84210526315789,19
"t5m18",4.84210526315789,19
"t5m19",4.84210526315789,19
"t5m20",4.84210526315789,19
"t5m21",NA,NA
"t5m22",NA,NA
"t5m23",NA,NA
"t5m24",NA,NA
"t5m25",NA,NA
"t5m26",NA,NA
"t5m27",NA,NA
"t5m28",NA,NA
"t5m29",NA,NA
"t5m30",NA,NA
"t5m31",NA,NA
"t5m32",NA,NA
"t6m1",3.8,5
"t6m2",3.8,5
"t6m3",3.8,5
"t6m4",3.8,5
"t6m5",3.8,5
"t6m6",3.8,5
"t6m7",3.8,5
"t6m8",3.8,5
"t7m1",4.88888888888889,18
"t7m2",4.88888888888889,18
"t7m3",4.88888888888889,18
"t7m4",4.88888888888889,18
"t7m5",5,5
"t7m6",4.88888888888889,18
"t7m7",4.88888888888889,18
"t7m8",4.88888888888889,18
"t7m9",4.88888888888889,18
"t7m10",5,5
"t8m1",4.6,5
"t10m1",4.5,6
"t10m2",4.5,6
"t10m3",4.5,6
"t10m4",4.5,6
"t10m5",4.5,6
"t10m6",4.5,6
"t10m7",4.5,6
"t10m8",4.5,6
"t10m9",4.5,6
"t10m10",4.5,6
"t10m11",4.5,6
"t10m12",4.5,6
"t12m1",4.63636363636364,11
"t12m2",4.63636363636364,11
"t12m3",4.63636363636364,11
"t12m4",4.63636363636364,11
"t12m5",4.63636363636364,11
"t12m6",4.63636363636364,11
"t12m7",4.63636363636364,11
"t12m8",4.63636363636364,11
"t12m9",4.63636363636364,11
"t12m10",4.63636363636364,11
"t12m11",4.63636363636364,11
"t12m12",4.63636363636364,11
"t13m1",4,7
"t13m2",4,7
"t13m3",4,7
"t13m4",4,7
"t13m5",4,7
"t13m6",4,7
"t13m7",3.9,20
"t13m8",3.9,20
"t13m9",3.9,20
"t13m10",3.9,20
"t13m11",3.9,20
"t13m12",3.9,20
"t13m13",4,7
"t13m14",4,7
"t13m15",4,7
"t13m16",4,7
"t13m17",4,7
"t13m18",4,7
"t13m19",3.9,20
"t13m20",3.9,20
"t13m21",3.9,20
"t13m22",3.9,20
"t13m23",3.9,20
"t13m24",3.9,20
"t16m1",3.7,20
"t16m2",3.7,20
"t17m1",4.52173913043478,23
"t17m2",4.52173913043478,23
"t17m3",4.52173913043478,23
"t18m1",5.25,4
"t18m2",5.25,4
"t18m3",5.25,4
"t18m4",5.25,4
"t18m5",5.25,4
"t18m6",5.25,4
"t18m7",5.25,4
"t18m8",5.25,4
"t18m9",5.25,4
"t18m10",5.25,4
"t18m11",5.25,4
"t18m12",5.25,4
"t19m1",3.4,5
"t19m2",3.4,5
"t19m3",4.16666666666667,6
"t19m4",3.4,5
"t19m5",3.4,5
"t19m6",3.4,5
"t19m7",4.16666666666667,6
"t19m8",3.4,5
"t19m9",3.4,5
"t19m10",3.4,5
"t20m1",4.5,6
"t20m2",4.5,6
"t20m3",4.5,6
"t21m1",3.71428571428571,7
"t21m2",3.71428571428571,7
"t22m1",2,5
"t22m2",2,5
"t22m3",2,5
"t22m4",2,5
"t22m5",2,5
"t22m6",2,5
"t23m1",4.14285714285714,7
"t23m2",4.14285714285714,7
"t23m3",4.14285714285714,7
"t23m4",4.14285714285714,7
"t23m5",4.14285714285714,7
"t23m6",4.14285714285714,7
"t23m7",4.14285714285714,7
"t23m8",4.14285714285714,7
"t23m9",4.14285714285714,7
"t23m10",4.14285714285714,7
"t23m11",4.14285714285714,7
"t23m12",4.14285714285714,7
"t23m13",4.14285714285714,7
"t23m14",4.14285714285714,7
"t23m15",4.14285714285714,7
"t23m16",4.14285714285714,7
"t23m17",4.14285714285714,7
"t23m18",4.14285714285714,7
"t23m19",4.14285714285714,7
"t23m20",4.14285714285714,7
"t23m21",4.14285714285714,7
"t23m22",4.14285714285714,7
"t23m23",4.14285714285714,7
"t23m24",4.14285714285714,7
"t23m25",4.14285714285714,7
"t23m26",4.14285714285714,7
"t23m27",4.14285714285714,7
"t23m28",4.14285714285714,7
"t23m29",4.14285714285714,7
"t23m30",4.14285714285714,7
"t23m31",4.14285714285714,7
"t23m32",4.14285714285714,7
"t23m33",4.14285714285714,7
"t23m34",4.14285714285714,7
"t23m35",4.14285714285714,7
"t23m36",4.14285714285714,7
"t23m37",4.14285714285714,7
"t23m38",4.14285714285714,7
"t23m39",4.14285714285714,7
"t23m40",4.14285714285714,7
"t23m41",4.14285714285714,7
"t23m42",4.14285714285714,7
"t23m43",4.14285714285714,7
"t23m44",4.14285714285714,7
"t23m45",4.14285714285714,7
"t23m46",4.14285714285714,7
"t23m47",4.14285714285714,7
"t23m48",4.14285714285714,7
"t26m1",4.28571428571429,7
"t26m2",4.28571428571429,7
"t26m3",4.28571428571429,7
"t26m4",4.28571428571429,7
"t27m1",5,10
"t27m2",5,10
"t27m3",5,10
"t27m4",5,10
"t27m5",5,10
"t27m6",5,10
"t27m7",5,10
"t27m8",5,10
"t27m9",5,10
"t27m10",5,10
"t27m11",5,10
"t27m12",5,10
"t28m1",4.5,6
"t28m2",4.5,6
"t28m3",4.5,6
"t28m4",4.5,6
"t28m5",4.5,6
"t28m6",4.5,6
"t28m7",4.5,6
"t28m8",4.5,6
"t28m9",4.5,6
"t28m10",4.5,6
"t28m11",4.5,6
"t28m12",4.5,6
"t28m13",4.5,6
"t28m14",4.5,6
"t28m15",4.5,6
"t28m16",4.5,6
"t28m17",4.5,6
"t28m18",4.5,6
"t28m19",4.5,6
"t28m20",4.5,6
"t28m21",4.5,6
"t28m22",4.5,6
"t28m23",4.5,6
"t28m24",4.5,6
"t29m1",4.14285714285714,7
"t29m2",4.14285714285714,7
"t29m3",4.14285714285714,7
"t29m4",4.14285714285714,7
"t29m5",4.14285714285714,7
"t29m6",4.14285714285714,7
"t29m7",4.14285714285714,7
"t29m8",4.14285714285714,7
"t29m9",4.14285714285714,7
"t29m10",4.14285714285714,7
"t29m11",4.14285714285714,7
"t29m12",4.14285714285714,7
"t29m13",4.14285714285714,7
"t29m14",4.14285714285714,7
"t29m15",4.14285714285714,7
"t29m16",4.14285714285714,7
"t29m17",4.14285714285714,7
"t29m18",4.14285714285714,7
"t29m19",4.14285714285714,7
"t29m20",4.14285714285714,7
"t29m21",4.14285714285714,7
"t29m22",4.14285714285714,7
"t29m23",4.14285714285714,7
"t29m24",4.14285714285714,7
"t29m25",4.14285714285714,7
"t29m26",4.14285714285714,7
"t29m27",4.14285714285714,7
"t29m28",4.14285714285714,7
"t29m29",4.14285714285714,7
"t29m30",4.14285714285714,7
"t29m31",4.14285714285714,7
"t29m32",4.14285714285714,7
"t29m33",4.14285714285714,7
"t29m34",4.14285714285714,7
"t29m35",4.14285714285714,7
"t29m36",4.14285714285714,7
"t29m37",4.14285714285714,7
"t29m38",4.14285714285714,7
"t29m39",4.14285714285714,7
"t29m40",4.14285714285714,7
"t29m41",4.14285714285714,7
"t29m42",4.14285714285714,7
"t29m43",4.14285714285714,7
"t29m44",4.14285714285714,7
"t29m45",4.14285714285714,7
"t29m46",4.14285714285714,7
"t29m47",4.14285714285714,7
"t29m48",4.14285714285714,7
"t30m1",5.42857142857143,7
"t30m2",5.42857142857143,7
"t30m3",5.42857142857143,7
"t30m4",5.42857142857143,7
"t30m5",5.42857142857143,7
"t30m6",5.42857142857143,7
"t30m7",5.42857142857143,7
"t30m8",5.42857142857143,7
"t31m1",4.22222222222222,18
"t31m2",4.22222222222222,18
"t31m3",4.22222222222222,18
"t31m4",4.22222222222222,18
"t31m5",4.22222222222222,18
"t31m6",4.22222222222222,18
"t31m7",4.28571428571429,7
"t31m8",4.28571428571429,7
"t31m9",4.28571428571429,7
"t31m10",4.28571428571429,7
"t31m11",4.28571428571429,7
"t31m12",4.28571428571429,7
"t31m13",3.5,4
"t31m14",3.5,4
"t31m15",3.5,4
"t31m16",3.5,4
"t31m17",3.5,4
"t31m18",3.5,4
"t31m19",4.22222222222222,18
"t31m20",4.22222222222222,18
"t31m21",4.22222222222222,18
"t31m22",4.22222222222222,18
"t31m23",4.22222222222222,18
"t31m24",4.22222222222222,18
"t31m25",4.22222222222222,18
"t31m26",4.22222222222222,18
"t31m27",4.22222222222222,18
"t31m28",4.22222222222222,18
"t31m29",4.22222222222222,18
"t31m30",4.22222222222222,18
"t31m31",4.28571428571429,7
"t31m32",4.28571428571429,7
"t31m33",4.28571428571429,7
"t31m34",4.28571428571429,7
"t31m35",4.28571428571429,7
"t31m36",4.28571428571429,7
"t31m37",3.5,4
"t31m38",3.5,4
"t31m39",3.5,4
"t31m40",3.5,4
"t31m41",3.5,4
"t31m42",3.5,4
"t31m43",4.22222222222222,18
"t31m44",4.22222222222222,18
"t31m45",4.22222222222222,18
"t31m46",4.22222222222222,18
"t31m47",4.22222222222222,18
"t31m48",4.22222222222222,18
"t32m1",4.14285714285714,7
"t33m1",4.63636363636364,11
"t33m2",4.63636363636364,11
"t33m3",4.63636363636364,11
"t33m4",4.63636363636364,11
"t33m5",4.63636363636364,11
"t33m6",4.63636363636364,11
"t33m7",4.63636363636364,11
"t33m8",4.63636363636364,11
"t33m9",4.63636363636364,11
"t33m10",4.63636363636364,11
"t33m11",4.63636363636364,11
"t33m12",4.63636363636364,11
"t33m13",4.63636363636364,11
"t33m14",4.63636363636364,11
"t33m15",4.63636363636364,11
"t33m16",4.63636363636364,11
"t33m17",4.63636363636364,11
"t33m18",4.63636363636364,11
"t33m19",4.63636363636364,11
"t33m20",4.63636363636364,11
"t34m1",4.57142857142857,7
"t34m2",4.22222222222222,18
"t34m3",4.18181818181818,11
"t34m4",4.30434782608696,23
"t34m5",4.57142857142857,7
"t34m6",4.22222222222222,18
"t34m7",4.18181818181818,11
"t34m8",4.30434782608696,23
"t34m9",4.57142857142857,7
"t34m10",4.57142857142857,7
"t34m11",4.22222222222222,18
"t34m12",4.22222222222222,18
"t34m13",4.18181818181818,11
"t34m14",4.18181818181818,11
"t34m15",4.30434782608696,23
"t34m16",4.30434782608696,23
"t35m1",4.6,5
"t35m2",4.6,5
"t35m3",4.6,5
"t35m4",4.6,5
"t36m1",3.95238095238095,42
"t36m2",3.95238095238095,42
"t36m3",3.95238095238095,42
"t36m4",3.95238095238095,42
"t36m5",3.95238095238095,42
"t36m6",3.95238095238095,42
"t37m1",4,5
"t37m2",4,5
"t37m3",4,5
"t38m1",4.6,5
"t38m2",4.45454545454545,11
"t39m1",4.66666666666667,6
"t39m2",4.66666666666667,6
"t39m3",4.66666666666667,6
"t39m4",4.66666666666667,6
"t39m5",4.66666666666667,6
"t39m6",4.66666666666667,6
"t39m7",4.66666666666667,6
"t39m8",4.66666666666667,6
"t39m9",4.66666666666667,6
"t39m10",4.66666666666667,6
"t39m11",4.66666666666667,6
"t39m12",4.66666666666667,6
"t40m1",3.28571428571429,7
"t40m2",3.69230769230769,13
"t40m3",3.69230769230769,13
"t40m4",3.28571428571429,7
"t40m5",3.28571428571429,7
"t40m6",3.69230769230769,13
"t40m7",3.69230769230769,13
"t40m8",3.28571428571429,7
"t41m1",4.16666666666667,6
"t41m2",4.16666666666667,6
"t41m3",4.16666666666667,6
"t41m4",4.16666666666667,6
"t41m5",4.16666666666667,6
"t41m6",4.16666666666667,6
"t41m7",4.16666666666667,6
"t41m8",4.16666666666667,6
