v_variable,model_desc
v_108,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996,2006. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10937588 - Typ 111)"
v_111,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Net migration (over a 10-year period), Employment rate, Social spending as a % of GDP, GDP, Change in GDP, Gini, Multiculturalism Policy Index (or equivalent).  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938257 - Typ 111)"
v_112,"BASIC MODEL FORM: Ordered logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country.Categorical. Each DV estimated in separate models. Estimation Method: Bayesian.  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938259 - Typ 111)"
v_113,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 1985, 1990, 1996, 2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Percentage change in foreign-born stock (1-year), Unemployment rate, Change in unemployment rate (1-year), Social spending as a % of GDP, Change in social spending as a % of GDP, GDP, Change in GDP, Welfare state regime types.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938262 - Typ 111)"
v_114,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1985, 1990, 1996, 2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Percentage change in foreign-born stock (1-year), Unemployment rate, Change in unemployment rate (1-year), Social spending as a % of GDP, Change in social spending as a % of GDP, GDP, Change in GDP, Welfare state regime types.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938263 - Typ 111)"
v_115,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Bayesian.  ADDITIONAL MODEL SPECIFICATIONS: Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938265 - Typ 111)"
v_116,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 2006, 2016. Countries Included: Austria, Belgium, Canada, Chile, Croatia, Czechia, Denmark, Finland, France, Germany, Hungary, Iceland, Ireland, Israel, Japan, South Korea, Latvia, Lithuania, Netherlands, New Zealand, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States, South Africa.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Employment rate, Stock of refugees, Change in refugee stock, Social spending as a % of GDP, GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938266 - Typ 111)"
v_117,"BASIC MODEL FORM: Ordered logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years.Categorical. Each DV estimated in separate models. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Denmark, Finland, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Unemployment rate, Social spending as a % of GDP, GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938267 - Typ 111)"
v_118,"BASIC MODEL FORM: Linear regression.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 1985, 1990, 1996, 2006, 2016. Countries Included: Australia, Canada, Finland, France, Germany, Ireland, Italy, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP, Political conservatism of government (left-to-right), Decommodification index, Immigration Policy Index.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment, Marital status, Household size, Religious denomination, Religious attendance.  INTERACTIONS of VARIABLES TESTED: Net migration*Political Conservatism. (q_10938268 - Typ 111)"
v_119,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Israel, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938269 - Typ 111)"
