u_id,u_teamid,belief1,belief2,belief3,belief4,belief5,belief6,belief7,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,stat1,stat2,stat3,stat4,stat5,stat6,stat7,pro_immigrant,Group.1,Hsup,stats,topic,belief,immig,concl
1,1,2,4,2,1,1,2,3,1,1,3,2,0,0,0,0,0,3,3,4,8,4,3,3,3,1,0,0.34620437516850505,-0.1258389922272597,-0.6606164248753333,-1.2965517241379312,-0.20975056689342506
10,5,2,3,2,2,2,2,3,1,1,3,3,0,0,0,0,0,3,3,4,6,4,1,1,3,5,0,-0.11820550218404505,-0.134630010203853,-0.3000859118247931,-1.2965517241379325,-0.2097505668934249
100,48,2,3,2,2,2,2,2,1,2,3,5,1,0,0,0,1,4,4,3,3,5,1,2,4,48,0,0.4751215749859235,0.27084393567558973,-0.40938022533118396,-0.2965517241379328,-0.2097505668934256
101,48,2,3,2,2,2,2,2,1,1,1,5,0,0,0,0,0,3,3,3,7,4,2,1,5,48,0,-0.07417887680731125,-0.22532380576625338,-0.3894084348089308,0.7034482758620696,-0.2097505668934243
102,49,2,3,2,2,2,2,3,3,2,1,5,0,0,0,0,0,3,4,4,2,3,1,1,5,49,0,-0.3490202650321489,-0.05627177072608245,-0.2677097765404254,0.7034482758620716,-0.20975056689342278
103,49,3,3,2,3,2,2,3,3,2,1,5,1,0,0,0,0,2,3,3,1,2,1,1,5,49,0,-0.9087868413371378,-0.007208561996012643,0.16171679561224883,0.7034482758620734,-0.20975056689342284
104,49,2,3,2,2,2,2,3,3,1,1,2,0,0,0,0,0,4,4,4,4,3,1,1,5,49,0,-0.1885181643729403,-0.20962724198089977,-0.2725005795129046,0.7034482758620718,-0.20975056689342267
109,52,2,3,2,2,3,3,3,1,1,1,3,1,0,0,0,0,3,4,3,3,3,1,1,5,52,0.5,-0.43029767351196335,-0.17986666056320855,-0.047541255609995475,0.70344827586206915,0.29024943310657625
11,5,2,3,2,1,2,2,3,1,1,2,2,0,0,0,0,0,3,3,4,2,4,1,2,4,5,0,-0.07451661522196774,-0.24194015740233732,-0.4827266055973626,-0.29655172413793207,-0.20975056689342447
110,52,3,3,2,3,3,2,3,3,1,1,4,1,0,0,0,0,3,4,4,3,3,1,2,6,52,0.5,-0.22080445943472207,-0.013085466169184205,0.33231963578149465,1.703448275862072,0.29024943310657764
