"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","-0.058","-0.059","-0.061","-0.062","",""
"","","(0.041)","(0.041)","(0.042)","(0.043)","",""
"Pro-immigration team","","","","-0.006","-0.006","",""
"","","","","(0.022)","(0.021)","",""
"Statistical skills","0.024*"," 0.019"," 0.019"," 0.019"," 0.019","0.022*","0.022*"
"","(0.012)","(0.012)","(0.012)","(0.012)","(0.012)","(0.013)","(0.013)"
"Topic experience","-0.036*","-0.035*","-0.035*","-0.035*","-0.035*","-0.035*","-0.035*"
"","(0.016)","(0.015)","(0.016)","(0.016)","(0.016)","(0.015)","(0.016)"
"Hypothesis prior","",""," 0.005",""," 0.005",""," 0.007"
"","","","(0.020)","","(0.020)","","(0.009)"
"Pro-immigration index","","","","",""," 0.007"," 0.003"
"","","","","","","(0.009)","(0.020)"
"Log-Lik","-335.51","-332.53","-332.63","-332.32","-332.44","-335.14","-335.23"
"AIC","693.02","689.06","691.27","690.65","692.88","694.28","696.45"
"R-squared","0.104","0.112","0.111","0.112","0.112","0.105","0.104"
"","","","","","","",""
"Anti-immigration team","","-0.059","-0.059","-0.063","-0.063","",""
"","","(0.040)","(0.041)","(0.042)","(0.042)","",""
"Pro-immigration team","","","","-0.009","-0.009","",""
"","","","","(0.020)","(0.020)","",""
"Statistical skills","0.028*","0.024*","0.024*","0.024*","0.024*","0.027*","0.027*"
"","(0.013)","(0.013)","(0.013)","(0.013)","(0.013)","(0.013)","(0.013)"
"Topic experience","-0.041*","-0.039*","-0.039*","-0.040*","-0.040*","-0.040*","-0.040*"
"","(0.017)","(0.016)","(0.016)","(0.016)","(0.016)","(0.016)","(0.016)"
"Hypothesis prior","",""," 0.000",""," 0.000",""," 0.005"
"","","","(0.019)","","(0.018)","","(0.009)"
"Pro-immigration index","","","","",""," 0.005","-0.001"
"","","","","","","(0.009)","(0.019)"
"Log-Lik","-325.75","-322.61","-322.61","-322.07","-322.07","-325.66","-325.65"
"AIC","673.5","669.22","671.23","670.14","672.14","675.31","677.3"
"R-squared","0.104","0.112","0.112","0.114","0.114","0.104","0.104"
