"V1","V2","V3","V4","V5","V6","V7"
"Variable","Null_1","(1)","(2)","Null_2","(3)","(4)"
"Anti-immigration team","","","-0.254*","","","-0.317*"
"","","","(0.057)","","","(0.044)"
"Pro-immigration team","","-0.529*","-0.593*","","-0.304*","-0.384*"
"","","(0.037)","(0.039)","","(0.029)","(0.031)"
"Statistical skills","-0.160*","-0.100*","-0.109*","-0.072*","-0.037*","-0.049*"
"","(0.024)","(0.022)","(0.022)","(0.018)","(0.018)","(0.017)"
"Topic experience","0.188*","0.133*","0.131*","0.044*","0.012","0.010"
"","(0.025)","(0.023)","(0.023)","(0.019)","(0.019)","(0.018)"
"Log-Lik","-1315.32","-1219.16","-1209.11","-986.52","-933.86","-908.62"
"AIC","2664.63","2474.31","2456.21","2007.04","1903.71","1855.24"
"R-squared","0.152","0.276","0.288","0.111","0.185","0.218"
