"V1","V2","V3","V4","V5","V6"
"Variable","Null","(1)","(2)","(3)","(4)"
"Anti-immigration team","","-0.054","-0.053","",""
"","","(0.029)","(0.03)","",""
"Pro-immigration team","","0.024","0.026","",""
"","","(0.014)","(0.014)","",""
"Statistical skills","0.04","0.035","0.034","0.038","0.038"
"","(0.018)","(0.016)","(0.015)","(0.018)","(0.017)"
"Topic experience","-0.043","-0.041","-0.041","-0.041","-0.041"
"","(0.016)","(0.016)","(0.016)","(0.017)","(0.016)"
"Hypothesis prior","","","-0.013","","-0.013"
"","","","(0.016)","","(0.015)"
"Pro-immigration index","","","","0.012","0.012"
"","","","","(0.006)","(0.005)"
"Log-Lik","-19.58","-11.58","-11.28","-17.51","-17.19"
"AIC","73.15","61.16","62.57","71.02","72.39"
"R-squared","0.058","0.07","0.071","0.061","0.062"
"","","","","",""
"Anti-immigration team","","-0.058","-0.056","",""
"","","(0.033)","(0.033)","",""
"Pro-immigration team","","0.025","0.027","",""
"","","(0.014)","(0.014)","",""
"Statistical skills","0.041","0.035","0.034","0.039","0.038"
"","(0.018)","(0.016)","(0.016)","(0.018)","(0.018)"
"Topic experience","-0.043","-0.041","-0.041","-0.041","-0.041"
"","(0.017)","(0.016)","(0.016)","(0.017)","(0.017)"
"Hypothesis prior","","","-0.015","","-0.015"
"","","","(0.016)","","(0.015)"
"Pro-immigration index","","","","0.012","0.013"
"","","","","(0.006)","(0.005)"
"Log-Lik","-38.69","-29.86","-29.46","-36.53","-36.11"
"AIC","111.38","97.71","98.92","109.06","110.22"
"R-squared","0.06","0.073","0.073","0.063","0.064"
