"V1","V2","V3","V4"
"Alternative coding of ideology","(1) Baseline degree coding","(2) First author discipline","(3) All possible discipline combinations"
"A. Weighted by number of models per team","","",""
"(1) Mean immigration sentiment index","0.012*","0.010*","0.014*"
"","(0.006)","(0.006)","(0.008)"
"(2) % of team that is pro-immigration","0.037*","0.033*","0.056*"
"","(0.018)","(0.019)","(0.025)"
"(3) Pro-immigration team","0.040*","0.040*","0.053*"
"","(0.015)","(0.016)","(0.020)"
"4. Alternative grouping:","","",""
"% of team that is moderate","0.047*","0.036","0.035"
"","(0.023)","(0.024)","(0.037)"
"% of team that is pro-immigration","0.073*","0.061*","0.084*"
"","(0.023)","(0.024)","(0.036)"
"Baseline with anti- as reference category:","","",""
"Moderate team","0.054*","0.037","0.052"
"","(0.029)","(0.027)","(0.044)"
"Pro-immigration team","0.079*","0.065*","0.091*"
"","(0.028)","(0.026)","(0.042)"
"","","",""
"B. Additionally weighted by peer review scores","","",""
"(1) Mean immigration sentiment index","0.012*","0.010*","0.013"
"","(0.006)","(0.006)","(0.008)"
"(2) % of team that is pro-immigration","0.039*","0.036*","0.052*"
"","(0.019)","(0.020)","(0.024)"
"(3) Pro-immigration team","0.041*","0.042*","0.050*"
"","(0.015)","(0.017)","(0.019)"
"4. Alternative grouping:","","",""
"% of team that is moderate","0.047*","0.034","0.035"
"","(0.024)","(0.025)","(0.037)"
"% of team that is pro-immigration","0.076*","0.062*","0.079*"
"","(0.025)","(0.026)","(0.035)"
"Baseline with anti- as reference category:","","",""
"Moderate team","0.058*","0.039","0.046"
"","(0.033)","(0.030)","(0.041)"
"Pro-immigration team","0.083*","0.069*","0.084*"
"","(0.031)","(0.029)","(0.039)"
