"V1","V2","V3","V4","V5","V6","V7","V8"
"Variable","Null","(1)","(2)","(3)","(4)","(5)","(6)"
"Anti-immigration team","","-0.070","-0.071","-0.072","-0.073","",""
"","","(0.037)","(0.038)","(0.042)","(0.043)","",""
"Pro-immigration team","","","","-0.004","-0.003","",""
"","","","","(0.025)","(0.025)","",""
"Statistical skills"," 0.042"," 0.040"," 0.040"," 0.040"," 0.040"," 0.041"," 0.041"
"","(0.027)","(0.026)","(0.026)","(0.025)","(0.025)","(0.026)","(0.026)"
"Topic experience","-0.063","-0.065","-0.065","-0.066","-0.066","-0.058","-0.058"
"","(0.031)","(0.031)","(0.032)","(0.032)","(0.033)","(0.030)","(0.031)"
"Hypothesis prior","",""," 0.004",""," 0.004",""," 0.001"
"","","","(0.020)","","(0.020)","","(0.020)"
"Pro-immigration index","","","","",""," 0.010"," 0.010"
"","","","","","","(0.008)","(0.008)"
"Log-Lik","-767.6","-766.9","-760.83","-760.85","-760.79","-764.39","-764.39"
"AIC","600.74","1559.8","1549.67","1549.69","1551.57","1554.79","1556.78"
"R-squared","0.041","0.046","0.046","0.046","0.046","0.044","0.044"
"","","","","","","",""
"Anti-immigration team","","-0.126","-0.070","-0.073","-0.072","",""
"","","(0.047)","(0.036)","(0.040)","(0.041)","",""
"Pro-immigration team","","","","-0.005","-0.005","",""
"","","","","(0.024)","(0.024)","",""
"Statistical skills"," 0.047","-0.088"," 0.045"," 0.045"," 0.045"," 0.047"," 0.047"
"","(0.026)","(0.053)","(0.025)","(0.025)","(0.025)","(0.026)","(0.026)"
"Topic experience","-0.068"," 0.107","-0.071","-0.071","-0.072","-0.064","-0.065"
"","(0.031)","(0.051)","(0.031)","(0.031)","(0.031)","(0.029)","(0.030)"
"Hypothesis prior","","","-0.002","","-0.002","","-0.005"
"","","","(0.020)","","(0.020)","","(0.019)"
"Pro-immigration index","","","","",""," 0.009"," 0.009"
"","","","","","","(0.008)","(0.008)"
"Log-Lik","-733.39","-726.32","-726.3","-726.22","-726.2","-730.72","-730.6"
"AIC","1490.77","1478.63","1480.6","1480.44","1482.41","1487.45","1489.2"
"R-squared","0.043","0.048","0.048","0.048","0.048","0.045","0.045"
