Var,Total_Pos,Direct_Pos,Indirect_Pos,Total_Neg,Direct_Neg,Indirect_Neg
DV =,H Supported,H Supported,Mean AME,H Rejected,H Rejected,Mean AME
Mean AME,NA,-2.932,NA,NA,3.042,NA
,NA,0.657,NA,NA,0.701,NA
Pro-Immigrant,-0.029,0.039,0.023,0.002,-0.068,0.023
,0.074,0.067,0.012,0.079,0.072,0.012
Belief in H,-0.134,-0.181,-0.016,0.243,0.292,-0.016
,0.159,0.141,0.026,0.169,0.151,0.026
Stat Skills,-0.304,-0.025,0.095,0.254,-0.035,0.095
,0.194,0.182,0.032,0.206,0.195,0.032
Topic Experience,0.512,0.338,-0.059,-0.383,-0.203,-0.059
,0.274,0.245,0.045,0.291,0.262,0.045
